0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
garmin_product: fenix3_hr,manufacturer: garmin,number: None,serial_number: 3925405976,time_created: 2019-01-16 22:55:35,type: activity,unknown_7: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardware_version: None,software_version: 490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event: timer,event_group: 0,event_type: start,timer_trigger: manual,timestamp: 2019-01-16 22:55:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ant_device_number: None,ant_network: None,ant_transmission_type: None,battery_status: None,battery_voltage: None [V],cum_operating_time: None [s],device_index: creator,device_type: None,garmin_product: fenix3_hr,hardware_version: None,manufacturer: garmin,serial_number: 3925405976,software_version: 4.9,source_type: local,timestamp: 2019-01-16 22:55:34,unknown_15: None,unknown_16: None,unknown_17: None,unknown_23: None,unknown_8: None,unknown_9: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ant_device_number: None,ant_network: None,ant_transmission_type: None,battery_status: None,battery_voltage: None [V],cum_operating_time: None [s],device_index: 1,device_type: 4,garmin_product: fenix3_hr,hardware_version: None,manufacturer: garmin,serial_number: None,software_version: 4.9,source_type: local,timestamp: 2019-01-16 22:55:34,unknown_15: None,unknown_16: None,unknown_17: None,unknown_23: None,unknown_8: None,unknown_9: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ant_device_number: None,ant_network: None,ant_transmission_type: None,battery_status: None,battery_voltage: None [V],cum_operating_time: None [s],device_index: 2,device_type: 3,hardware_version: None,manufacturer: 0,product: 0,serial_number: None,software_version: 0.0,source_type: local,timestamp: 2019-01-16 22:55:34,unknown_15: None,unknown_16: None,unknown_17: None,unknown_23: None,unknown_8: None,unknown_9: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ant_device_number: None,ant_network: None,ant_transmission_type: None,battery_status: None,battery_voltage: None [V],cum_operating_time: None [s],device_index: 3,device_type: 10,hardware_version: None,manufacturer: None,product: None,serial_number: None,software_version: 2.74,source_type: local,timestamp: 2019-01-16 22:55:34,unknown_15: None,unknown_16: None,unknown_17: None,unknown_23: None,unknown_8: None,unknown_9: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_0: 2,unknown_1: 2,unknown_14: None,unknown_2: 2,unknown_253: 916613734,unknown_3: 1,unknown_4: None,unknown_5: 0,unknown_6: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_0: 1,unknown_1: 916531200,unknown_2: 916855200,unknown_253: 916613734,unknown_3: None,unknown_4: None,unknown_5: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_0: 11892,unknown_1: 26,unknown_10: 60,unknown_11: 170,unknown_12: 0,unknown_13: 101,unknown_14: 0,unknown_2: 178,unknown_253: 916613734,unknown_3: 920,unknown_4: 1,unknown_5: 100,unknown_6: 198,unknown_7: 1,unknown_8: 1,unknown_9: 2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name: Run,sport: running,sub_sport: generic,"unknown_10: (None, 0, 0)",unknown_11: 1,unknown_4: 29,unknown_5: 1,unknown_6: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 336.0 [m],cadence: 0 [rpm],distance: 0.0 [m],enhanced_altitude: 336.0 [m],enhanced_speed: 0.0 [m/s],fractional_cadence: 0.0 [rpm],speed: 0.0 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:55:34,unknown_87: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown_0: 2,unknown_1: 2,unknown_14: None,unknown_2: 2,unknown_253: 916613736,unknown_3: 1,unknown_4: 3,unknown_5: 3,unknown_6: None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.20000000000005 [m],cadence: 0 [rpm],distance: 0.0 [m],enhanced_altitude: 335.20000000000005 [m],enhanced_speed: 0.0 [m/s],fractional_cadence: 0.0 [rpm],heart_rate: 75 [bpm],speed: 0.0 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:55:36,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altitude: 335.0 [m],cadence: 63 [rpm],distance: 2.83 [m],enhanced_altitude: 335.0 [m],enhanced_speed: 1.418 [m/s],fractional_cadence: 0.5 [rpm],heart_rate: 78 [bpm],speed: 1.418 [m/s],temperature: 30 [C],timestamp: 2019-01-16 22:55:41,unknown_87: 0,unknown_88: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
