,distance,cadence,altitude,enhanced_speed,speed,heart_rate,step_length,fractional_cadence,stance_time_balance,stance_time_percent,timestamp,vertical_oscillation,vertical_ratio,run_number
0,0.0,37,252.79999999999995,0.0,0.0,93,0.0,0.0,47.9,43.75,2019-01-01 16:44:26,38.0,0.0,1
0,0.0,41,252.79999999999995,0.0,0.0,94,0.0,0.0,47.9,50.0,2019-01-01 16:44:27,40.0,0.0,1
0,1.76,48,253.0,0.905,0.905,97,0.0,0.0,48.0,50.0,2019-01-01 16:44:29,42.7,0.0,1
0,3.78,48,253.20000000000005,1.036,1.036,101,0.0,0.5,48.12,45.75,2019-01-01 16:44:31,42.7,0.0,1
0,4.84,49,253.20000000000005,1.064,1.064,104,0.0,0.0,48.31,45.5,2019-01-01 16:44:32,42.7,0.0,1
0,5.93,51,253.20000000000005,1.092,1.092,108,0.0,0.0,48.46,45.0,2019-01-01 16:44:36,55.5,0.0,1
0,7.04,51,253.20000000000005,1.101,1.101,111,0.0,0.5,49.12,45.0,2019-01-01 16:44:38,53.5,0.0,1
0,24.75,51,253.79999999999995,1.073,1.073,108,0.0,0.0,50.78,45.75,2019-01-01 16:44:52,52.5,0.0,1
0,26.95,51,253.79999999999995,1.026,1.026,111,0.0,0.0,50.9,45.75,2019-01-01 16:44:54,52.5,0.0,1
0,29.84,59,253.60000000000002,1.045,1.045,114,459.0,0.0,51.21,44.75,2019-01-01 16:44:56,49.7,1.25,1
0,33.12,60,253.39999999999998,1.12,1.12,113,550.0,0.5,51.75,39.5,2019-01-01 16:44:59,35.0,7.03,1
0,47.56,54,252.60000000000002,1.204,1.204,108,661.0,0.5,52.4,49.75,2019-01-01 16:45:14,45.7,6.81,1
0,79.63,56,252.79999999999995,1.194,1.194,113,668.0,0.5,50.65,49.25,2019-01-01 16:45:40,46.7,7.21,1
0,114.83,60,252.0,1.222,1.222,117,625.0,0.0,50.53,49.5,2019-01-01 16:46:09,70.2,10.25,1
0,128.74,63,252.39999999999998,1.334,1.334,122,652.0,0.0,50.71,48.75,2019-01-01 16:46:18,67.2,10.15,1
0,148.55,64,252.20000000000005,1.502,1.502,123,729.0,0.0,49.87,49.0,2019-01-01 16:46:30,52.5,7.68,1
0,154.91,64,252.20000000000005,1.568,1.568,123,798.0,0.5,49.31,49.0,2019-01-01 16:46:34,57.5,7.31,1
0,159.11,61,252.20000000000005,1.568,1.568,124,817.0,0.0,49.31,48.5,2019-01-01 16:46:37,61.5,7.21,1
0,176.18,62,252.39999999999998,1.689,1.689,121,834.0,0.0,49.03,49.25,2019-01-01 16:46:47,62.5,7.21,1
0,211.69,69,253.79999999999995,1.54,1.54,128,684.0,0.0,48.87,49.5,2019-01-01 16:47:10,44.7,6.12,1
0,219.9,63,254.60000000000002,1.624,1.624,130,742.0,0.5,48.87,49.25,2019-01-01 16:47:15,53.5,6.71,1
0,222.89,58,254.79999999999995,1.605,1.605,130,848.0,0.5,48.87,48.5,2019-01-01 16:47:17,54.5,6.71,1
0,234.79,71,254.20000000000005,1.838,1.838,128,877.0,0.0,49.12,49.0,2019-01-01 16:47:24,41.7,6.53,1
0,261.39,63,254.60000000000002,1.633,1.633,128,842.0,0.5,48.93,48.5,2019-01-01 16:47:40,57.5,6.71,1
0,263.06,61,254.79999999999995,1.624,1.624,131,871.0,0.5,49.06,50.0,2019-01-01 16:47:41,58.5,6.81,1
0,273.43,69,256.0,1.913,1.913,134,830.0,0.5,49.65,46.75,2019-01-01 16:47:47,35.0,5.15,1
0,276.59,70,255.79999999999995,1.633,1.633,132,548.0,0.0,49.65,47.25,2019-01-01 16:47:49,57.5,6.03,1
0,282.15,68,256.20000000000005,1.381,1.381,132,652.0,0.5,49.84,47.25,2019-01-01 16:47:53,40.0,6.53,1
0,285.72,69,256.20000000000005,1.614,1.614,134,625.0,0.5,49.34,47.5,2019-01-01 16:47:55,36.0,6.03,1
0,321.42,63,257.4,1.558,1.558,134,803.0,0.0,49.03,50.0,2019-01-01 16:48:19,45.7,6.12,1
0,322.79,63,257.4,1.558,1.558,134,803.0,0.0,49.03,50.0,2019-01-01 16:48:20,45.7,6.12,1
0,412.72,62,261.4,1.446,1.446,126,704.0,0.5,47.4,48.75,2019-01-01 16:49:18,58.5,6.25,1
0,419.45,57,262.4,1.502,1.502,127,775.0,0.5,47.71,44.0,2019-01-01 16:49:22,62.5,7.4,1
0,432.57,63,264.0,1.68,1.68,129,808.0,0.5,48.18,48.5,2019-01-01 16:49:29,42.7,6.25,1
0,541.63,67,264.20000000000005,1.484,1.484,122,675.0,0.0,48.28,48.75,2019-01-01 16:50:40,40.0,5.93,1
0,547.18,68,264.20000000000005,1.53,1.53,122,697.0,0.0,48.31,48.5,2019-01-01 16:50:44,37.0,5.56,1
0,596.9,70,265.4,1.344,1.344,120,508.0,0.0,48.18,44.5,2019-01-01 16:51:21,51.7,7.4,1
0,597.58,70,265.6,1.372,1.372,121,551.0,0.0,48.43,44.5,2019-01-01 16:51:22,51.7,8.78,1
0,599.94,68,265.6,1.278,1.278,123,568.0,0.0,48.84,50.0,2019-01-01 16:51:24,59.5,9.46,1
0,602.15,58,265.79999999999995,1.278,1.278,124,628.0,0.0,49.37,50.0,2019-01-01 16:51:26,55.5,8.78,1
0,625.67,68,266.4,1.53,1.53,128,703.0,0.0,49.18,50.0,2019-01-01 16:51:41,35.0,6.25,1
0,654.9,49,267.79999999999995,1.372,1.372,126,743.0,0.0,49.28,50.0,2019-01-01 16:52:02,60.5,6.25,1
0,656.12,57,268.0,1.157,1.157,127,712.0,0.0,49.18,49.25,2019-01-01 16:52:03,50.7,6.43,1
0,695.71,83,269.4,1.521,1.521,125,540.0,0.5,49.12,49.25,2019-01-01 16:52:29,41.0,6.03,1
0,730.16,77,268.6,1.596,1.596,119,723.0,0.5,52.0,48.5,2019-01-01 16:52:51,43.7,5.06,1
0,735.07,103,269.20000000000005,1.465,1.465,122,442.0,0.0,51.59,18.75,2019-01-01 16:52:55,48.7,6.53,1
0,740.52,72,269.6,1.381,1.381,126,510.0,0.0,51.25,45.0,2019-01-01 16:52:59,72.2,12.68,1
0,746.84,91,269.6,1.698,1.698,127,576.0,0.5,50.65,42.25,2019-01-01 16:53:02,59.5,12.96,1
0,751.22,90,269.4,2.081,2.081,128,750.0,0.0,50.65,41.5,2019-01-01 16:53:04,64.2,11.12,1
0,754.96,91,269.20000000000005,2.137,2.137,130,729.0,0.0,50.37,42.5,2019-01-01 16:53:06,61.5,9.25,1
0,761.7,79,269.79999999999995,2.043,2.043,133,706.0,0.5,49.87,41.5,2019-01-01 16:53:10,79.0,8.96,1
0,765.32,92,270.4,1.885,1.885,134,591.0,0.5,49.75,44.0,2019-01-01 16:53:12,49.7,8.78,1
0,770.99,88,271.20000000000005,1.894,1.894,137,690.0,0.0,49.53,44.5,2019-01-01 16:53:15,54.5,8.59,1
0,772.46,85,271.4,1.903,1.903,138,736.0,0.5,49.53,45.0,2019-01-01 16:53:16,55.5,8.46,1
0,775.04,78,271.6,1.764,1.764,140,756.0,0.0,49.53,45.5,2019-01-01 16:53:18,69.2,8.46,1
0,777.95,79,271.79999999999995,1.586,1.586,143,492.0,0.5,49.65,45.25,2019-01-01 16:53:20,64.2,10.43,1
0,783.6,85,272.20000000000005,1.586,1.586,146,531.0,0.0,49.75,44.5,2019-01-01 16:53:23,60.5,10.81,1
0,790.77,87,272.4,1.717,1.717,148,652.0,0.0,49.71,43.75,2019-01-01 16:53:27,60.5,9.75,1
0,801.85,87,273.6,1.857,1.857,150,677.0,0.0,49.62,43.5,2019-01-01 16:53:32,60.5,8.87,1
0,806.58,87,273.20000000000005,1.903,1.903,152,720.0,0.5,49.62,43.75,2019-01-01 16:53:34,58.5,8.28,1
0,809.85,84,273.20000000000005,1.922,1.922,153,801.0,0.0,49.43,43.75,2019-01-01 16:53:36,58.5,7.68,1
0,819.88,83,274.0,1.782,1.782,154,621.0,0.5,48.56,44.5,2019-01-01 16:53:42,54.5,9.06,1
0,822.75,83,274.6,1.782,1.782,155,635.0,0.5,48.93,44.75,2019-01-01 16:53:44,53.5,8.68,1
0,829.89,84,275.4,1.736,1.736,157,637.0,0.0,49.15,44.5,2019-01-01 16:53:48,63.2,9.37,1
