,activity_type,altitude,ant_device_number,ant_network,ant_transmission_type,antplus_device_type,avg_cadence_position,avg_fractional_cadence,avg_heart_rate,avg_left_power_phase,avg_left_power_phase_peak,avg_power_position,avg_right_power_phase,avg_right_power_phase_peak,avg_running_cadence,avg_speed,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_vertical_oscillation,avg_vertical_ratio,battery_status,battery_voltage,cadence,cum_operating_time,data,device_index,device_type,distance,end_position_lat,end_position_long,enhanced_altitude,enhanced_avg_speed,enhanced_max_speed,enhanced_speed,event,event_group,event_type,first_lap_index,fractional_cadence,garmin_product,hardware_version,heart_rate,lap_trigger,local_timestamp,manufacturer,max_cadence_position,max_fractional_cadence,max_heart_rate,max_power_position,max_running_cadence,max_speed,message_index,name,nec_lat,nec_long,num_laps,num_sessions,position_lat,position_long,product,serial_number,software_version,source_type,speed,sport,stance_time,stance_time_balance,stance_time_percent,start_position_lat,start_position_long,start_time,step_length,sub_sport,swc_lat,swc_long,temperature,time_created,time_in_hr_zone,time_in_power_zone,timer_trigger,timestamp,total_ascent,total_calories,total_descent,total_distance,total_elapsed_time,total_strides,total_timer_time,total_training_effect,type,vertical_oscillation,vertical_ratio
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fenix3_hr,,,,,garmin,,,,,,,,,,,,,,,,3925405976,,,,,,,,,,,,,,,,2019-01-01 16:44:26,,,,,,,,,,,,,activity,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,timer,0,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,manual,2019-01-01 16:44:26,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,creator,,,,,,,,,,,,,,fenix3_hr,,,,,garmin,,,,,,,,,,,,,,,,3925405976,4.9,local,,,,,,,,,,,,,,,,,,2019-01-01 16:44:26,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,fenix3_hr,,,,,garmin,,,,,,,,,,,,,,,,,4.9,local,,,,,,,,,,,,,,,,,,2019-01-01 16:44:26,,,,,,,,,,,
0,,,2825,antplus,33,heart_rate,,,,,,,,,,,,,,,,,ok,2.921875,,19902128,,2,,,,,,,,,,,,,,hrm4_run,5,,,,garmin,,,,,,,,,,,,,,,,3966896905,34.0,antplus,,,,,,,,,,,,,,,,,,2019-01-01 16:44:26,,,,,,,,,,,
0,,,2825,antplus,33,30,,,,,,,,,,,,,,,,,ok,2.921875,,19902128,,3,,,,,,,,,,,,,,hrm4_run,5,,,,garmin,,,,,,,,,,,,,,,,3966896905,34.0,antplus,,,,,,,,,,,,,,,,,,2019-01-01 16:44:26,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,13876,,,,,,,,,,,,,,,12339,,128.48,local,,,,,,,,,,,,,,,,,,2019-01-01 16:44:26,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run,,,,,,,,,,,,running,,,,,,,,generic,,,,,,,,,,,,,,,,,,,
0,running,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,37,,,,,0.0,,,252.79999999999995,,,0.0,,,,,0.0,,,93,,,,,,,,,,,,,,,,,,,,,,0.0,,701.0,47.9,43.75,,,,0.0,,,,26,,,,,2019-01-01 16:44:26,,,,,,,,,,38.0,0.0
0,running,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,41,,,,,0.0,,,252.79999999999995,,,0.0,,,,,0.0,,,94,,,,,,,,,,,,,,,,,,,,,,0.0,,643.0,47.9,50.0,,,,0.0,,,,26,,,,,2019-01-01 16:44:27,,,,,,,,,,40.0,0.0
0,running,253.0,,,,,,,,,,,,,,,,,,,,,,,48,,,,,1.76,,,253.0,,,0.905,,,,,0.0,,,97,,,,,,,,,,,,,,,,,,,,,,0.905,,636.0,48.0,50.0,,,,0.0,,,,26,,,,,2019-01-01 16:44:29,,,,,,,,,,42.7,0.0
0,running,253.20000000000005,,,,,,,,,,,,,,,,,,,,,,,48,,,,,3.78,,,253.20000000000005,,,1.036,,,,,0.5,,,101,,,,,,,,,,,,,,,,,,,,,,1.036,,621.0,48.12,45.75,,,,0.0,,,,26,,,,,2019-01-01 16:44:31,,,,,,,,,,42.7,0.0
0,running,253.20000000000005,,,,,,,,,,,,,,,,,,,,,,,49,,,,,4.84,,,253.20000000000005,,,1.064,,,,,0.0,,,104,,,,,,,,,,,,,,,,,,,,,,1.064,,601.0,48.31,45.5,,,,0.0,,,,26,,,,,2019-01-01 16:44:32,,,,,,,,,,42.7,0.0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,1620,,,,,garmin,,,,,,,,,,,,,,,,,3.3,local,,,,,,,,,,,,,,,,,,2019-01-01 16:44:36,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,running,253.20000000000005,,,,,,,,,,,,,,,,,,,,,,,51,,,,,5.93,,,253.20000000000005,,,1.092,,,,,0.0,,,108,,,,,,,,,,,,,,,,492778188,-1146595148,,,,,1.092,,553.0,48.46,45.0,,,,0.0,,,,26,,,,,2019-01-01 16:44:36,,,,,,,,,,55.5,0.0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,running,253.20000000000005,,,,,,,,,,,,,,,,,,,,,,,51,,,,,7.04,,,253.20000000000005,,,1.101,,,,,0.5,,,111,,,,,,,,,,,,,,,,492778012,-1146595177,,,,,1.101,,548.0,49.12,45.0,,,,0.0,,,,26,,,,,2019-01-01 16:44:38,,,,,,,,,,53.5,0.0
0,running,253.79999999999995,,,,,,,,,,,,,,,,,,,,,,,51,,,,,24.75,,,253.79999999999995,,,1.073,,,,,0.0,,,108,,,,,,,,,,,,,,,,492776212,-1146596880,,,,,1.073,,550.0,50.78,45.75,,,,0.0,,,,26,,,,,2019-01-01 16:44:52,,,,,,,,,,52.5,0.0
0,running,253.79999999999995,,,,,,,,,,,,,,,,,,,,,,,51,,,,,26.95,,,253.79999999999995,,,1.026,,,,,0.0,,,111,,,,,,,,,,,,,,,,492776021,-1146596651,,,,,1.026,,550.0,50.9,45.75,,,,0.0,,,,26,,,,,2019-01-01 16:44:54,,,,,,,,,,52.5,0.0
0,running,253.60000000000002,,,,,,,,,,,,,,,,,,,,,,,59,,,,,29.84,,,253.60000000000002,,,1.045,,,,,0.0,,,114,,,,,,,,,,,,,,,,492775878,-1146596241,,,,,1.045,,515.0,51.21,44.75,,,,459.0,,,,26,,,,,2019-01-01 16:44:56,,,,,,,,,,49.7,1.25
0,walking,253.60000000000002,,,,,,,,,,,,,,,,,,,,,,,60,,,,,32.21,,,253.60000000000002,,,1.12,,,,,0.5,,,113,,,,,,,,,,,,,,,,492775697,-1146596003,,,,,1.12,,,,,,,,550.0,,,,26,,,,,2019-01-01 16:44:58,,,,,,,,,,38.0,7.03
0,running,253.39999999999998,,,,,,,,,,,,,,,,,,,,,,,60,,,,,33.12,,,253.39999999999998,,,1.12,,,,,0.5,,,113,,,,,,,,,,,,,,,,492775635,-1146595901,,,,,1.12,,463.0,51.75,39.5,,,,550.0,,,,26,,,,,2019-01-01 16:44:59,,,,,,,,,,35.0,7.03
0,walking,253.39999999999998,,,,,,,,,,,,,,,,,,,,,,,59,,,,,34.06,,,253.39999999999998,,,1.138,,,,,0.5,,,112,,,,,,,,,,,,,,,,492775774,-1146595783,,,,,1.138,,,,,,,,601.0,,,,26,,,,,2019-01-01 16:45:01,,,,,,,,,,38.0,6.62
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,59,,,,,40.05,,,252.79999999999995,,,1.222,,,,,0.0,,,115,,,,,,,,,,,,,,,,492775154,-1146595585,,,,,1.222,,,,,,,,696.0,,,,26,,,,,2019-01-01 16:45:06,,,,,,,,,,42.7,6.71
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,57,,,,,43.9,,,252.79999999999995,,,1.213,,,,,0.0,,,112,,,,,,,,,,,,,,,,492774739,-1146595619,,,,,1.213,,,,,,,,646.0,,,,26,,,,,2019-01-01 16:45:10,,,,,,,,,,45.7,6.81
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,56,,,,,45.54,,,252.79999999999995,,,1.222,,,,,0.5,,,109,,,,,,,,,,,,,,,,492774571,-1146595484,,,,,1.222,,,,,,,,660.0,,,,26,,,,,2019-01-01 16:45:12,,,,,,,,,,45.7,6.81
0,running,252.60000000000002,,,,,,,,,,,,,,,,,,,,,,,54,,,,,47.56,,,252.60000000000002,,,1.204,,,,,0.5,,,108,,,,,,,,,,,,,,,,492774333,-1146595671,,,,,1.204,,541.0,52.4,49.75,,,,661.0,,,,26,,,,,2019-01-01 16:45:14,,,,,,,,,,45.7,6.81
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,53,,,,,49.69,,,252.79999999999995,,,1.176,,,,,0.5,,,110,,,,,,,,,,,,,,,,492774106,-1146595652,,,,,1.176,,,,,,,,662.0,,,,26,,,,,2019-01-01 16:45:16,,,,,,,,,,44.7,6.71
0,walking,253.0,,,,,,,,,,,,,,,,,,,,,,,60,,,,,62.55,,,253.0,,,1.157,,,,,0.5,,,113,,,,,,,,,,,,,,,,492772735,-1146595370,,,,,1.157,,,,,,,,585.0,,,,26,,,,,2019-01-01 16:45:27,,,,,,,,,,56.5,8.87
0,walking,253.0,,,,,,,,,,,,,,,,,,,,,,,56,,,,,68.89,,,253.0,,,1.222,,,,,0.5,,,114,,,,,,,,,,,,,,,,492772067,-1146595206,,,,,1.222,,,,,,,,734.0,,,,26,,,,,2019-01-01 16:45:31,,,,,,,,,,61.5,8.78
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,56,,,,,74.15,,,252.79999999999995,,,1.297,,,,,0.5,,,111,,,,,,,,,,,,,,,,492771505,-1146595122,,,,,1.297,,,,,,,,752.0,,,,26,,,,,2019-01-01 16:45:35,,,,,,,,,,56.5,7.68
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,57,,,,,78.4,,,252.79999999999995,,,1.222,,,,,0.0,,,111,,,,,,,,,,,,,,,,492771048,-1146594979,,,,,1.222,,,,,,,,687.0,,,,26,,,,,2019-01-01 16:45:39,,,,,,,,,,45.7,7.12
0,running,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,56,,,,,79.63,,,252.79999999999995,,,1.194,,,,,0.5,,,113,,,,,,,,,,,,,,,,492770914,-1146594985,,,,,1.194,,531.0,50.65,49.25,,,,668.0,,,,26,,,,,2019-01-01 16:45:40,,,,,,,,,,46.7,7.21
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,54,,,,,82.8,,,252.79999999999995,,,1.185,,,,,0.0,,,115,,,,,,,,,,,,,,,,492770576,-1146595039,,,,,1.185,,,,,,,,655.0,,,,26,,,,,2019-01-01 16:45:43,,,,,,,,,,46.7,7.31
0,walking,252.60000000000002,,,,,,,,,,,,,,,,,,,,,,,54,,,,,86.84,,,252.60000000000002,,,1.166,,,,,0.5,,,108,,,,,,,,,,,,,,,,492770146,-1146594985,,,,,1.166,,,,,,,,633.0,,,,26,,,,,2019-01-01 16:45:46,,,,,,,,,,49.7,7.59
0,walking,252.60000000000002,,,,,,,,,,,,,,,,,,,,,,,54,,,,,88.16,,,252.60000000000002,,,1.185,,,,,0.5,,,103,,,,,,,,,,,,,,,,492770005,-1146595006,,,,,1.185,,,,,,,,638.0,,,,26,,,,,2019-01-01 16:45:47,,,,,,,,,,49.7,7.59
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,54,,,,,89.42,,,252.79999999999995,,,1.185,,,,,0.5,,,103,,,,,,,,,,,,,,,,492769868,-1146595002,,,,,1.185,,,,,,,,650.0,,,,26,,,,,2019-01-01 16:45:48,,,,,,,,,,50.7,7.68
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,54,,,,,90.78,,,252.79999999999995,,,1.194,,,,,0.5,,,106,,,,,,,,,,,,,,,,492769722,-1146594991,,,,,1.194,,,,,,,,651.0,,,,26,,,,,2019-01-01 16:45:49,,,,,,,,,,51.7,7.68
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,55,,,,,91.87,,,252.79999999999995,,,1.194,,,,,0.5,,,109,,,,,,,,,,,,,,,,492769604,-1146594987,,,,,1.194,,,,,,,,651.0,,,,26,,,,,2019-01-01 16:45:50,,,,,,,,,,50.7,7.59
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,55,,,,,92.88,,,252.79999999999995,,,1.204,,,,,0.0,,,112,,,,,,,,,,,,,,,,492769494,-1146594983,,,,,1.204,,,,,,,,663.0,,,,26,,,,,2019-01-01 16:45:51,,,,,,,,,,51.7,7.5
0,walking,252.79999999999995,,,,,,,,,,,,,,,,,,,,,,,54,,,,,95.65,,,252.79999999999995,,,1.148,,,,,0.5,,,115,,,,,,,,,,,,,,,,492769198,-1146595030,,,,,1.148,,,,,,,,694.0,,,,26,,,,,2019-01-01 16:45:54,,,,,,,,,,52.5,7.5
