,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,running,310.4,0,0.0,310.4,0.0,0.0,84,492373021,-1145963427,0.0,0.0,0.0,0.0,0.0,31,2019-01-02 20:47:35,0.0,0.0
0,running,310.4,0,9.85,310.4,0.0,0.0,80,492374164,-1145963375,0.0,0.0,0.0,0.0,0.0,31,2019-01-02 20:47:36,0.0,0.0
0,running,310.0,0,11.26,310.0,0.924,0.0,74,492374340,-1145963344,0.924,0.0,0.0,0.0,0.0,31,2019-01-02 20:47:37,0.0,0.0
0,running,309.6,49,11.26,309.6,1.138,0.0,74,492374126,-1145963211,1.138,531.0,50.68,50.0,0.0,31,2019-01-02 20:47:38,46.7,0.0
0,running,309.0,0,38.6,309.0,0.896,0.0,95,492375895,-1145963760,0.896,0.0,0.0,0.0,0.0,31,2019-01-02 20:48:07,0.0,0.0
0,running,309.0,62,45.97,309.0,1.642,0.0,95,492376586,-1145963265,1.642,474.0,49.34,48.5,799.0,31,2019-01-02 20:48:16,73.0,8.87
0,running,308.6,61,51.39,308.6,1.68,0.5,101,492377135,-1145963010,1.68,471.0,49.5,50.0,778.0,31,2019-01-02 20:48:19,58.5,7.4
0,running,308.6,62,53.26,308.6,1.698,0.0,101,492377323,-1145962917,1.698,471.0,49.5,50.0,778.0,31,2019-01-02 20:48:20,60.5,7.4
0,running,308.4,62,55.91,308.4,1.558,0.0,104,492377543,-1145962681,1.558,464.0,49.5,50.0,788.0,31,2019-01-02 20:48:22,59.5,7.4
0,running,309.4,62,70.09,309.4,1.661,0.0,108,492378004,-1145960670,1.661,481.0,49.68,49.0,794.0,31,2019-01-02 20:48:30,59.5,7.5
0,running,310.20000000000005,62,97.22,310.20000000000005,1.708,0.0,105,492378506,-1145956865,1.708,479.0,49.87,49.5,816.0,31,2019-01-02 20:48:45,70.2,7.5
0,running,310.4,61,100.57,310.4,1.689,0.5,107,492378497,-1145956387,1.689,483.0,49.96,50.0,839.0,31,2019-01-02 20:48:47,67.2,7.4
0,running,310.20000000000005,59,122.27,310.20000000000005,1.726,0.5,115,492379657,-1145953988,1.726,469.0,50.15,48.5,779.0,31,2019-01-02 20:49:01,56.5,7.4
0,running,310.6,61,291.3,310.6,1.381,0.0,110,492378140,-1145937443,1.381,496.0,49.31,49.25,729.0,29,2019-01-02 20:50:55,68.2,8.46
0,running,312.6,62,388.95,312.6,1.754,0.0,116,492378080,-1145923556,1.754,483.0,49.68,50.0,855.0,29,2019-01-02 20:51:53,60.5,6.71
0,running,313.0,61,392.13,313.0,1.661,0.5,117,492378048,-1145923105,1.661,482.0,49.46,48.75,866.0,29,2019-01-02 20:51:55,59.5,6.62
0,running,313.4,90,500.84,313.4,1.465,0.0,110,492377646,-1145907652,1.465,361.0,48.68,49.25,625.0,28,2019-01-02 20:53:03,14.5,3.5
0,running,312.4,92,505.38,312.4,1.549,0.0,111,492377708,-1145907008,1.549,335.0,49.21,47.75,594.0,28,2019-01-02 20:53:06,20.5,3.4
0,running,311.79999999999995,76,507.89,311.79999999999995,1.446,0.0,108,492377771,-1145906661,1.446,335.0,49.96,42.25,595.0,28,2019-01-02 20:53:08,18.5,3.12
0,running,311.20000000000005,69,513.77,311.20000000000005,1.493,0.5,111,492377834,-1145905827,1.493,364.0,49.34,50.0,568.0,28,2019-01-02 20:53:12,28.2,4.46
0,running,310.20000000000005,67,522.32,310.20000000000005,1.708,0.5,112,492377804,-1145904611,1.708,374.0,49.75,44.0,861.0,28,2019-01-02 20:53:17,29.2,4.56
0,running,309.20000000000005,69,532.2,309.20000000000005,1.652,0.5,114,492377718,-1145903210,1.652,377.0,50.65,43.75,721.0,28,2019-01-02 20:53:23,33.0,4.37
0,running,308.4,70,538.73,308.4,1.577,0.0,111,492377722,-1145902277,1.577,382.0,50.75,45.0,677.0,28,2019-01-02 20:53:27,32.0,4.56
0,running,308.20000000000005,70,540.45,308.20000000000005,1.586,0.5,114,492377719,-1145902033,1.586,385.0,50.87,45.25,654.0,28,2019-01-02 20:53:28,32.0,4.68
0,running,308.0,70,541.91,308.0,1.586,0.5,114,492377733,-1145901823,1.586,386.0,50.87,45.5,648.0,28,2019-01-02 20:53:29,32.0,4.78
0,running,307.0,69,547.83,307.0,1.568,0.5,110,492377778,-1145900980,1.568,393.0,51.34,44.75,654.0,28,2019-01-02 20:53:33,34.0,4.96
