,Cadence,Ground Time,Power,Vertical Oscillation,activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
0,0,0,0,0.0,running,358.6,47,0.0,358.6,0.0,0.5,82,,,0.0,632.0,0.0,48.25,0.0,28,2019-01-08 12:46:21,21.2,0.0
0,0,0,0,0.0,running,359.0,47,0.0,359.0,0.0,0.5,81,,,0.0,632.0,57.15,48.25,0.0,28,2019-01-08 12:46:22,21.2,0.0
0,0,0,0,0.0,running,359.20000000000005,47,0.0,359.20000000000005,0.0,0.5,78,,,0.0,632.0,57.15,48.25,0.0,29,2019-01-08 12:46:23,21.2,0.0
0,0,0,0,0.0,running,358.6,47,1.06,358.6,1.064,0.5,75,,,1.064,632.0,57.15,48.25,0.0,29,2019-01-08 12:46:24,21.2,0.0
0,0,0,0,0.0,running,358.20000000000005,49,2.14,358.20000000000005,1.073,0.5,79,,,1.073,558.0,57.15,44.25,0.0,29,2019-01-08 12:46:25,26.2,0.0
0,0,0,0,0.0,running,357.0,59,39.71,357.0,1.372,0.5,102,492377183,-1145962657,1.372,502.0,49.93,49.25,673.0,29,2019-01-08 12:47:01,73.0,11.5
0,0,0,0,0.0,running,358.79999999999995,57,96.71,358.79999999999995,1.465,0.5,114,492377185,-1145954669,1.465,520.0,49.53,50.0,780.0,29,2019-01-08 12:47:41,70.2,8.28
0,0,0,0,0.0,running,359.4,64,114.28,359.4,1.558,0.5,112,492377762,-1145952220,1.558,480.0,49.43,50.0,739.0,29,2019-01-08 12:47:52,57.5,7.5
0,0,0,0,0.0,running,359.4,64,115.61,359.4,1.577,0.0,114,492377896,-1145952122,1.577,476.0,49.53,49.0,750.0,29,2019-01-08 12:47:53,58.5,7.59
0,0,0,0,0.0,running,359.4,63,116.77,359.4,1.577,0.5,115,492378022,-1145952079,1.577,473.0,49.53,50.0,750.0,29,2019-01-08 12:47:54,60.5,7.59
0,0,0,0,0.0,running,359.20000000000005,63,117.75,359.20000000000005,1.568,0.0,116,492378130,-1145952058,1.568,470.0,49.62,47.25,775.0,29,2019-01-08 12:47:55,62.5,7.68
0,0,0,0,0.0,running,359.0,63,118.93,359.0,1.53,0.0,117,492378257,-1145952070,1.53,458.0,49.62,45.0,768.0,29,2019-01-08 12:47:56,69.2,7.81
0,0,0,0,0.0,running,358.79999999999995,63,119.92,358.79999999999995,1.418,0.5,117,492378361,-1145952096,1.418,439.0,49.84,36.5,750.0,29,2019-01-08 12:47:57,67.2,8.0
0,0,0,0,0.0,running,358.6,63,121.42,358.6,1.344,0.5,118,492378523,-1145952094,1.344,458.0,49.93,47.0,660.0,29,2019-01-08 12:47:58,65.2,8.37
0,0,0,0,0.0,running,360.0,57,132.58,360.0,1.054,0.0,121,492379712,-1145951881,1.054,514.0,49.75,49.0,498.0,29,2019-01-08 12:48:04,68.2,12.96
0,0,0,0,0.0,running,360.6,57,133.41,360.6,1.064,0.0,121,492379797,-1145951849,1.064,514.0,49.75,50.0,506.0,29,2019-01-08 12:48:05,68.2,13.06
0,0,0,0,0.0,running,360.79999999999995,57,134.02,360.79999999999995,1.064,0.0,123,492379863,-1145951848,1.064,513.0,49.65,48.75,510.0,29,2019-01-08 12:48:06,70.2,13.15
0,0,0,0,0.0,running,361.0,57,136.24,361.0,1.017,0.0,123,492380101,-1145951902,1.017,514.0,49.53,48.75,527.0,29,2019-01-08 12:48:07,71.2,13.06
0,0,0,0,0.0,running,361.6,57,141.7,361.6,0.961,0.0,124,492380643,-1145951792,0.961,523.0,49.43,49.0,485.0,28,2019-01-08 12:48:12,91.7,16.28
0,0,0,0,0.0,running,361.79999999999995,56,142.3,361.79999999999995,0.961,0.5,124,492380662,-1145951707,0.961,521.0,49.53,49.0,486.0,28,2019-01-08 12:48:13,88.7,16.59
0,0,0,0,0.0,running,362.0,56,142.76,362.0,0.924,0.5,125,492380676,-1145951643,0.924,522.0,49.53,49.0,489.0,28,2019-01-08 12:48:14,85.7,16.28
0,0,0,0,0.0,running,362.0,56,143.38,362.0,0.877,0.0,124,492380727,-1145951578,0.877,520.0,49.53,48.25,489.0,28,2019-01-08 12:48:15,77.0,15.81
0,0,0,0,0.0,running,361.6,66,160.86,361.6,0.98,0.5,128,492380354,-1145949913,0.98,454.0,50.25,48.5,416.0,28,2019-01-08 12:48:33,44.7,11.4
0,0,0,0,0.0,running,361.20000000000005,66,163.27,361.20000000000005,1.045,0.5,128,492380104,-1145949844,1.045,437.0,49.65,47.75,551.0,28,2019-01-08 12:48:35,44.7,9.65
0,0,0,0,0.0,running,358.4,59,172.66,358.4,1.204,0.0,118,492379112,-1145949546,1.204,476.0,49.53,49.0,610.0,28,2019-01-08 12:48:42,43.7,7.9
0,0,0,0,0.0,running,358.20000000000005,58,174.25,358.20000000000005,1.232,0.0,116,492378940,-1145949541,1.232,481.0,49.43,48.5,636.0,28,2019-01-08 12:48:43,44.7,7.68
0,0,0,0,0.0,running,358.0,58,175.92,358.0,1.288,0.5,114,492378761,-1145949506,1.288,481.0,49.43,48.5,643.0,28,2019-01-08 12:48:44,45.7,7.59
0,0,0,0,0.0,running,357.4,58,183.54,357.4,1.53,0.5,116,492378078,-1145949005,1.53,481.0,49.71,49.0,821.0,28,2019-01-08 12:48:48,71.2,7.81
0,0,0,0,0.0,running,357.4,58,185.24,357.4,1.568,0.5,117,492377948,-1145948835,1.568,481.0,49.71,49.0,914.0,28,2019-01-08 12:48:49,71.2,7.68
0,0,0,0,0.0,running,357.20000000000005,57,186.82,357.20000000000005,1.652,0.0,118,492377866,-1145948637,1.652,484.0,49.71,50.0,928.0,28,2019-01-08 12:48:50,74.0,7.81
0,0,0,0,0.0,running,357.20000000000005,58,188.56,357.20000000000005,1.652,0.5,118,492377835,-1145948393,1.652,483.0,49.46,50.0,916.0,28,2019-01-08 12:48:51,71.2,7.5
0,0,0,0,0.0,running,359.20000000000005,60,197.01,359.20000000000005,1.614,0.0,116,492377827,-1145947188,1.614,496.0,49.65,50.0,810.0,27,2019-01-08 12:48:57,66.2,7.59
0,0,0,0,0.0,running,359.0,57,287.72,359.0,1.652,0.5,115,492376733,-1145934373,1.652,514.0,49.62,49.25,865.0,26,2019-01-08 12:49:53,64.2,7.12
0,0,0,0,0.0,running,358.79999999999995,55,290.57,358.79999999999995,1.67,0.5,116,492376799,-1145933972,1.67,531.0,49.31,50.0,869.0,26,2019-01-08 12:49:55,70.2,7.31
0,0,0,0,0.0,running,358.79999999999995,55,291.13,358.79999999999995,1.67,0.0,116,492376796,-1145933884,1.67,534.0,49.12,50.0,880.0,26,2019-01-08 12:49:56,69.2,7.12
0,0,0,0,0.0,running,359.0,56,293.24,359.0,1.344,0.5,116,492376776,-1145933587,1.344,523.0,48.53,50.0,842.0,26,2019-01-08 12:49:58,64.2,7.31
0,0,0,0,0.0,running,359.0,58,294.72,359.0,1.344,0.0,117,492376767,-1145933377,1.344,518.0,48.4,50.0,775.0,26,2019-01-08 12:49:59,67.2,7.68
0,0,0,0,0.0,running,359.0,60,296.05,359.0,1.362,0.0,117,492376782,-1145933188,1.362,514.0,48.59,48.5,778.0,26,2019-01-08 12:50:00,70.2,7.81
0,0,0,0,0.0,running,359.0,60,297.44,359.0,1.4,0.5,119,492376776,-1145932990,1.4,507.0,48.84,48.5,740.0,26,2019-01-08 12:50:01,85.7,9.65
0,0,0,0,0.0,running,359.20000000000005,62,298.86,359.20000000000005,1.409,0.5,120,492376756,-1145932789,1.409,476.0,48.84,50.0,645.0,26,2019-01-08 12:50:02,83.0,11.12
