,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,temperature,timestamp
0,336.0,0,0.0,336.0,0.0,0.0,,,,0.0,30,2019-01-16 22:55:34
0,335.20000000000005,0,0.0,335.20000000000005,0.0,0.0,75,,,0.0,30,2019-01-16 22:55:36
0,335.0,63,2.83,335.0,1.418,0.5,78,,,1.418,30,2019-01-16 22:55:41
0,335.0,63,7.24,335.0,1.502,0.0,75,492376045,-1145963213,1.502,30,2019-01-16 22:55:49
0,335.0,63,8.75,335.0,1.512,0.0,76,492376173,-1145963261,1.512,30,2019-01-16 22:55:50
0,334.4,63,9.7,334.4,1.502,0.0,77,492376361,-1145963316,1.502,31,2019-01-16 22:55:52
0,334.0,0,10.34,334.0,1.39,0.0,80,492376412,-1145963471,1.39,31,2019-01-16 22:55:54
0,333.79999999999995,0,10.34,333.79999999999995,1.269,0.0,82,492376438,-1145963493,1.269,31,2019-01-16 22:55:55
0,333.79999999999995,0,11.51,333.79999999999995,1.12,0.0,84,492376521,-1145963602,1.12,31,2019-01-16 22:55:57
0,333.79999999999995,0,12.7,333.79999999999995,1.073,0.0,89,492376648,-1145963667,1.073,31,2019-01-16 22:55:58
0,333.79999999999995,61,17.7,333.79999999999995,1.082,0.5,93,492377184,-1145963755,1.082,31,2019-01-16 22:56:00
0,333.6,61,20.15,333.6,1.736,0.5,92,492377447,-1145963764,1.736,31,2019-01-16 22:56:01
0,333.79999999999995,84,24.05,333.79999999999995,2.071,0.5,91,492377852,-1145963623,2.071,31,2019-01-16 22:56:03
0,334.20000000000005,86,29.19,334.20000000000005,1.614,0.0,88,492377934,-1145962872,1.614,31,2019-01-16 22:56:08
0,334.20000000000005,86,30.54,334.20000000000005,1.614,0.0,85,492377950,-1145962678,1.614,31,2019-01-16 22:56:09
0,334.20000000000005,61,34.56,334.20000000000005,1.54,0.0,88,492377889,-1145962081,1.54,31,2019-01-16 22:56:12
0,334.4,61,36.14,334.4,1.446,0.0,93,492377877,-1145961847,1.446,31,2019-01-16 22:56:13
0,334.6,61,39.88,334.6,1.418,0.0,96,492377890,-1145961295,1.418,31,2019-01-16 22:56:15
0,334.6,61,45.96,334.6,1.446,0.0,93,492377859,-1145960413,1.446,31,2019-01-16 22:56:18
0,334.79999999999995,59,52.18,334.79999999999995,1.549,0.0,88,492377778,-1145959532,1.549,31,2019-01-16 22:56:21
0,334.79999999999995,57,54.18,334.79999999999995,1.596,0.5,88,492377773,-1145959246,1.596,31,2019-01-16 22:56:22
0,335.0,57,62.78,335.0,1.633,0.5,91,492377789,-1145958022,1.633,31,2019-01-16 22:56:27
0,335.4,58,69.72,335.4,1.54,0.0,91,492378023,-1145957036,1.54,31,2019-01-16 22:56:32
0,335.6,57,84.5,335.6,1.596,0.5,89,492378301,-1145954940,1.596,30,2019-01-16 22:56:42
0,335.20000000000005,59,92.57,335.20000000000005,1.642,0.0,88,492378962,-1145954215,1.642,30,2019-01-16 22:56:47
0,336.6,55,111.06,336.6,1.521,0.5,86,492380935,-1145953858,1.521,30,2019-01-16 22:56:58
0,337.6,53,117.83,337.6,1.213,0.0,87,492381676,-1145953728,1.213,30,2019-01-16 22:57:04
0,338.20000000000005,53,119.03,338.20000000000005,1.11,0.5,94,492381716,-1145953563,1.11,30,2019-01-16 22:57:07
0,338.20000000000005,53,120.27,338.20000000000005,1.092,0.5,94,492381689,-1145953389,1.092,30,2019-01-16 22:57:08
0,338.4,55,120.64,338.4,1.036,0.5,94,492381653,-1145953335,1.036,30,2019-01-16 22:57:10
0,338.6,54,123.71,338.6,0.84,0.5,97,492381712,-1145952912,0.84,30,2019-01-16 22:57:14
0,338.79999999999995,54,125.62,338.79999999999995,0.858,0.0,101,492381690,-1145952641,0.858,30,2019-01-16 22:57:15
