activity_type,altitude,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,run_number,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,vertical_oscillation,vertical_ratio
running,252.8,37,0,252.8,0,0,93,,,1,0,701,47.9,43.75,0,26,1/1/19 16:44,38,0
running,252.8,41,0,252.8,0,0,94,,,1,0,643,47.9,50,0,26,1/1/19 16:44,40,0
running,253,48,1.76,253,0.905,0,97,,,1,0.905,636,48,50,0,26,1/1/19 16:44,42.7,0
running,253.2,48,3.78,253.2,1.036,0.5,101,,,1,1.036,621,48.12,45.75,0,26,1/1/19 16:44,42.7,0
running,253.2,49,4.84,253.2,1.064,0,104,,,1,1.064,601,48.31,45.5,0,26,1/1/19 16:44,42.7,0
running,253.2,51,5.93,253.2,1.092,0,108,492778188,-1146595148,1,1.092,553,48.46,45,0,26,1/1/19 16:44,55.5,0
running,253.2,51,7.04,253.2,1.101,0.5,111,492778012,-1146595177,1,1.101,548,49.12,45,0,26,1/1/19 16:44,53.5,0
running,253.8,51,24.75,253.8,1.073,0,108,492776212,-1146596880,1,1.073,550,50.78,45.75,0,26,1/1/19 16:44,52.5,0
running,253.8,51,26.95,253.8,1.026,0,111,492776021,-1146596651,1,1.026,550,50.9,45.75,0,26,1/1/19 16:44,52.5,0
running,253.6,59,29.84,253.6,1.045,0,114,492775878,-1146596241,1,1.045,515,51.21,44.75,459,26,1/1/19 16:44,49.7,1.25
running,253.4,60,33.12,253.4,1.12,0.5,113,492775635,-1146595901,1,1.12,463,51.75,39.5,550,26,1/1/19 16:44,35,7.03
running,252.6,54,47.56,252.6,1.204,0.5,108,492774333,-1146595671,1,1.204,541,52.4,49.75,661,26,1/1/19 16:45,45.7,6.81
running,252.8,56,79.63,252.8,1.194,0.5,113,492770914,-1146594985,1,1.194,531,50.65,49.25,668,26,1/1/19 16:45,46.7,7.21
running,252,60,114.83,252,1.222,0,117,492767194,-1146595730,1,1.222,497,50.53,49.5,625,26,1/1/19 16:46,70.2,10.25
running,252.4,63,128.74,252.4,1.334,0,122,492765816,-1146596437,1,1.334,479,50.71,48.75,652,26,1/1/19 16:46,67.2,10.15
running,252.2,64,148.55,252.2,1.502,0,123,492763649,-1146596863,1,1.502,470,49.87,49,729,26,1/1/19 16:46,52.5,7.68
running,252.2,64,154.91,252.2,1.568,0.5,123,492762965,-1146596799,1,1.568,461,49.31,49,798,26,1/1/19 16:46,57.5,7.31
running,252.2,61,159.11,252.2,1.568,0,124,492762524,-1146596663,1,1.568,470,49.31,48.5,817,26,1/1/19 16:46,61.5,7.21
running,252.4,62,176.18,252.4,1.689,0,121,492760739,-1146596305,1,1.689,479,49.03,49.25,834,26,1/1/19 16:46,62.5,7.21
running,253.8,69,211.69,253.8,1.54,0,128,492757814,-1146598869,1,1.54,449,48.87,49.5,684,26,1/1/19 16:47,44.7,6.12
running,254.6,63,219.9,254.6,1.624,0.5,130,492757478,-1146599936,1,1.624,466,48.87,49.25,742,26,1/1/19 16:47,53.5,6.71
running,254.8,58,222.89,254.8,1.605,0.5,130,492757205,-1146600161,1,1.605,472,48.87,48.5,848,26,1/1/19 16:47,54.5,6.71
running,254.2,71,234.79,254.2,1.838,0,128,492755966,-1146600599,1,1.838,427,49.12,49,877,26,1/1/19 16:47,41.7,6.53
running,254.6,63,261.39,254.6,1.633,0.5,128,492753694,-1146602422,1,1.633,460,48.93,48.5,842,25,1/1/19 16:47,57.5,6.71
running,254.8,61,263.06,254.8,1.624,0.5,131,492753626,-1146602642,1,1.624,477,49.06,50,871,25,1/1/19 16:47,58.5,6.81
running,256,69,273.43,256,1.913,0.5,134,492753207,-1146604009,1,1.913,380,49.65,46.75,830,25,1/1/19 16:47,35,5.15
running,255.8,70,276.59,255.8,1.633,0,132,492753062,-1146604415,1,1.633,391,49.65,47.25,548,25,1/1/19 16:47,57.5,6.03
running,256.2,68,282.15,256.2,1.381,0.5,132,492752831,-1146605145,1,1.381,404,49.84,47.25,652,25,1/1/19 16:47,40,6.53
running,256.2,69,285.72,256.2,1.614,0.5,134,492752684,-1146605613,1,1.614,408,49.34,47.5,625,25,1/1/19 16:47,36,6.03
running,257.4,63,321.42,257.4,1.558,0,134,492751982,-1146610144,1,1.558,469,49.03,50,803,25,1/1/19 16:48,45.7,6.12
running,257.4,63,322.79,257.4,1.558,0,134,492751863,-1146610284,1,1.558,469,49.03,50,803,25,1/1/19 16:48,45.7,6.12
running,261.4,62,412.72,261.4,1.446,0.5,126,492747904,-1146619838,1,1.446,466,47.4,48.75,704,24,1/1/19 16:49,58.5,6.25
running,262.4,57,419.45,262.4,1.502,0.5,127,492748520,-1146620341,1,1.502,455,47.71,44,775,24,1/1/19 16:49,62.5,7.4
running,264,63,432.57,264,1.68,0.5,129,492749080,-1146621920,1,1.68,461,48.18,48.5,808,24,1/1/19 16:49,42.7,6.25
running,264.2,67,541.63,264.2,1.484,0,122,492751363,-1146624664,1,1.484,444,48.28,48.75,675,23,1/1/19 16:50,40,5.93
running,264.2,68,547.18,264.2,1.53,0,122,492751597,-1146623949,1,1.53,427,48.31,48.5,697,23,1/1/19 16:50,37,5.56
running,265.4,70,596.9,265.4,1.344,0,120,492753919,-1146621130,1,1.344,242,48.18,44.5,508,23,1/1/19 16:51,51.7,7.4
running,265.6,70,597.58,265.6,1.372,0,121,492754006,-1146621136,1,1.372,242,48.43,44.5,551,23,1/1/19 16:51,51.7,8.78
running,265.6,68,599.94,265.6,1.278,0,123,492754151,-1146621465,1,1.278,297,48.84,50,568,23,1/1/19 16:51,59.5,9.46
running,265.8,58,602.15,265.8,1.278,0,124,492754134,-1146621816,1,1.278,437,49.37,50,628,23,1/1/19 16:51,55.5,8.78
running,266.4,68,625.67,266.4,1.53,0,128,492754781,-1146624920,1,1.53,456,49.18,50,703,22,1/1/19 16:51,35,6.25
running,267.8,49,654.9,267.8,1.372,0,126,492754935,-1146628077,1,1.372,597,49.28,50,743,22,1/1/19 16:52,60.5,6.25
running,268,57,656.12,268,1.157,0,127,492755060,-1146628025,1,1.157,561,49.18,49.25,712,22,1/1/19 16:52,50.7,6.43
running,269.4,83,695.71,269.4,1.521,0.5,125,492756981,-1146623507,1,1.521,412,49.12,49.25,540,22,1/1/19 16:52,41,6.03
running,268.6,77,730.16,268.6,1.596,0.5,119,492758510,-1146619716,1,1.596,424,52,48.5,723,22,1/1/19 16:52,43.7,5.06
running,269.2,103,735.07,269.2,1.465,0,122,492759038,-1146619676,1,1.465,117,51.59,18.75,442,22,1/1/19 16:52,48.7,6.53
running,269.6,72,740.52,269.6,1.381,0,126,492759214,-1146618947,1,1.381,345,51.25,45,510,22,1/1/19 16:52,72.2,12.68
running,269.6,91,746.84,269.6,1.698,0.5,127,492759270,-1146618069,1,1.698,297,50.65,42.25,576,22,1/1/19 16:53,59.5,12.96
running,269.4,90,751.22,269.4,2.081,0,128,492759614,-1146617654,1,2.081,286,50.65,41.5,750,22,1/1/19 16:53,64.2,11.12
running,269.2,91,754.96,269.2,2.137,0,130,492760019,-1146617617,1,2.137,287,50.37,42.5,729,22,1/1/19 16:53,61.5,9.25
running,269.8,79,761.7,269.8,2.043,0.5,133,492760449,-1146618383,1,2.043,302,49.87,41.5,706,22,1/1/19 16:53,79,8.96
running,270.4,92,765.32,270.4,1.885,0.5,134,492760716,-1146618759,1,1.885,304,49.75,44,591,22,1/1/19 16:53,49.7,8.78
running,271.2,88,770.99,271.2,1.894,0,137,492761145,-1146619334,1,1.894,307,49.53,44.5,690,22,1/1/19 16:53,54.5,8.59
running,271.4,85,772.46,271.4,1.903,0.5,138,492761278,-1146619446,1,1.903,313,49.53,45,736,22,1/1/19 16:53,55.5,8.46
running,271.6,78,775.04,271.6,1.764,0,140,492761548,-1146619500,1,1.764,338,49.53,45.5,756,22,1/1/19 16:53,69.2,8.46
running,271.8,79,777.95,271.8,1.586,0.5,143,492761854,-1146619418,1,1.586,336,49.65,45.25,492,22,1/1/19 16:53,64.2,10.43
running,272.2,85,783.6,272.2,1.586,0,146,492762415,-1146619107,1,1.586,323,49.75,44.5,531,22,1/1/19 16:53,60.5,10.81
running,272.4,87,790.77,272.4,1.717,0,148,492763036,-1146618509,1,1.717,305,49.71,43.75,652,22,1/1/19 16:53,60.5,9.75
running,273.6,87,801.85,273.6,1.857,0,150,492764016,-1146617655,1,1.857,301,49.62,43.5,677,22,1/1/19 16:53,60.5,8.87
running,273.2,87,806.58,273.2,1.903,0.5,152,492764458,-1146617946,1,1.903,301,49.62,43.75,720,22,1/1/19 16:53,58.5,8.28
running,273.2,84,809.85,273.2,1.922,0,153,492764617,-1146618360,1,1.922,308,49.43,43.75,801,22,1/1/19 16:53,58.5,7.68
running,274,83,819.88,274,1.782,0.5,154,492764247,-1146619715,1,1.782,320,48.56,44.5,621,22,1/1/19 16:53,54.5,9.06
running,274.6,83,822.75,274.6,1.782,0.5,155,492764266,-1146620125,1,1.782,324,48.93,44.75,635,22,1/1/19 16:53,53.5,8.68
running,275.4,84,829.89,275.4,1.736,0,157,492764515,-1146621086,1,1.736,326,49.15,44.5,637,21,1/1/19 16:53,63.2,9.37
running,275.6,83,831.28,275.6,1.736,0,158,492764529,-1146621283,1,1.736,333,49.15,45,644,21,1/1/19 16:53,61.5,9.37
running,276.2,84,834.94,276.2,1.689,0,158,492764431,-1146621781,1,1.689,328,49.28,45,627,21,1/1/19 16:53,62.5,9.46
running,276.8,79,839.62,276.8,1.698,0,160,492764408,-1146622447,1,1.698,334,49.18,44.5,673,21,1/1/19 16:53,58.5,8.96
running,277.4,81,850.82,277.4,1.726,0.5,161,492764478,-1146624053,1,1.726,334,49.28,45.25,672,21,1/1/19 16:54,60.5,9.25
running,277.6,89,858.4,277.6,1.717,0.5,161,492764072,-1146624996,1,1.717,305,49.28,43,590,21,1/1/19 16:54,60.5,9.46
running,277.2,84,872.25,277.2,1.941,0,161,492763403,-1146626747,1,1.941,309,49.56,43.25,667,21,1/1/19 16:54,63.2,9.37
running,277.2,84,877.98,277.2,1.922,0.5,161,492763489,-1146627534,1,1.922,306,49.59,43,679,21,1/1/19 16:54,64.2,9.37
running,277.6,82,883.75,277.6,1.903,0,161,492763877,-1146628186,1,1.903,321,49.78,44,714,21,1/1/19 16:54,65.2,9.25
running,275,83,891.59,275,1.829,0.5,161,492764687,-1146628281,1,1.829,321,49.5,44.25,696,22,1/1/19 16:54,60.5,8.78
running,273.8,82,893.03,273.8,1.782,0.5,161,492764801,-1146628142,1,1.782,324,49.5,44.25,687,22,1/1/19 16:54,63.2,9.25
running,272.2,81,895.98,272.2,1.633,0.5,160,492764830,-1146627709,1,1.633,324,49.5,44,559,22,1/1/19 16:54,67.2,10.15
running,272.6,86,910.47,272.6,2.09,0.5,161,492764966,-1146625739,1,2.09,303,49.87,43.25,726,22,1/1/19 16:54,64.2,9.56
running,273,81,927.75,273,1.689,0,158,492766469,-1146626835,1,1.689,327,49.59,44.5,643,21,1/1/19 16:54,63.2,9.46
running,273.4,81,930.98,273.4,1.456,0.5,158,492766712,-1146626505,1,1.456,331,49.5,45,593,21,1/1/19 16:54,58.5,9.65
running,273.8,81,932.71,273.8,1.456,0.5,158,492766804,-1146626290,1,1.456,330,49.5,44.75,502,21,1/1/19 16:54,62.5,11.03
running,274,81,936.49,274,1.474,0,158,492766896,-1146625752,1,1.474,330,49.59,44.5,543,21,1/1/19 16:54,68.2,11.9
running,274.2,87,940.37,274.2,1.512,0,158,492766761,-1146625220,1,1.512,312,49.59,43.25,541,21,1/1/19 16:54,68.2,12.09
running,274,84,943.78,274,1.614,0.5,157,492766791,-1146624725,1,1.614,311,49.5,43.25,574,21,1/1/19 16:54,69.2,12
